file,n_basis,approx,signature,n_samples,n_candidates_per_circle,circle_candidate_threshold,angular_r,angular_s,angular_k,axis_r,axis_s,axis_k,symmetric_support_threshold,r_circle,cx_circle,cy_circle,cz_circle,nx_circle,ny_circle,nz_circle,theta_adjust,phi_adjust
files\Larco\14_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.0442871163653119,0.0,0.0,0.0,4.007040210591653e-17,-1.0495817151079335e-16,1.0,-1.295901320076855,1.523521916694241
files\Larco\15_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2016724065008086,0.0,0.0,0.0,-7.271958416732358e-17,-2.217430850205812e-17,1.0,-1.6472877770987873,1.3743592998092735
files\Larco\16_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.1729211647679112,0.0,0.0,0.0,4.967651288829896e-17,8.709894122788072e-17,1.0,-1.0670898562013045,-1.503860601900329
files\Larco\17_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2312876959068827,0.0,0.0,0.0,9.354778236133898e-17,-2.0033456361704512e-17,1.0,-1.524990293656073,-1.421488153884614
files\Larco\18_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2284040699749226,0.0,0.0,0.0,-1.5195721075663964e-17,-5.681900170184434e-17,1.0,-1.5862343986281693,1.419849993153192
files\Larco\19_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.1993249291961174,0.0,0.0,0.0,9.5023124264234e-17,3.403584818805589e-17,1.0,-1.6119052336095772,1.457896447294032
files\Larco\21_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2330297317087279,0.0,0.0,0.0,-4.730018144258383e-17,-8.542604044480502e-18,1.0,-1.606707207468306,-1.44648016244445
files\Larco\23_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2112705243869258,0.0,0.0,0.0,-6.791697421645807e-17,3.9257308248714326e-17,1.0,-1.8283491574196,1.5146489182481129
files\Larco\24_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.1113176360447116,0.0,0.0,0.0,-4.6685123468979066e-17,-9.413018932358872e-17,1.0,-1.543860074593644,-1.254856130010637
files\Larco\25_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2151954920238806,0.0,0.0,0.0,-7.898338376242528e-18,5.889515580268716e-17,1.0,-1.4259401242435896,-1.4768056723868117
files\Larco\26_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.1057442935415605,0.0,0.0,0.0,-1.7374580445992515e-16,-4.021071742216974e-18,1.0000000000000002,-2.126844875918766,-1.4953647173819031
files\Larco\27_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.047593295075886,0.0,0.0,0.0,-7.452137291588265e-17,-5.001290169505066e-18,1.0000000000000002,-1.6104478493196384,-1.3691269048642962
files\Larco\28_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.0557741984952623,0.0,0.0,0.0,2.3435041342758817e-17,1.247589239074399e-16,1.0,-1.696335612113122,1.3504926955853738
files\Larco\29_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.0148736933714009,0.0,0.0,0.0,-1.1933716434897329e-16,-9.189973784547617e-19,1.0,-2.489033402645857,0.0188213710308995
files\Larco\30_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2325966518844757,0.0,0.0,0.0,-9.913437911177692e-17,-4.664474601732019e-17,1.0,-1.71135378854795,-1.248476850616134
files\Larco\36_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.0637585956689219,0.0,0.0,0.0,8.97248219687777e-17,-3.612091153719928e-17,1.0,-0.390267978715104,0.5760006818705157
files\Larco\37_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2948721564583185,0.0,0.0,0.0,5.573934267815529e-17,-5.262191511421191e-17,1.0000000000000002,-1.3896532975430025,-0.9061965290761488
files\Larco\39_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.2064588420799264,0.0,0.0,0.0,-9.7823921030983e-18,-2.027090932085327e-18,1.0,-2.1044746668769965,-0.0726357851478256
files\Larco\41_decimated.off,100,robust,heat,30,500,0.005,0.015,0.03,10,0.25,0.5,5,0.01,0.11338510164598639,0.0,0.0,0.0,-7.195343381860674e-17,-4.030404391037963e-18,1.0,-1.5436405569216662,-1.4518235908428485
